Product UPC,Product,NACS CATEGORY,NACS SUBCATEGORY,BRAND,COMPANY,NACS Category Code,NACS Subcategory Code
0088004016326,RICH RARE RSRV 40 PERCENT A BLEND CNDN W,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004016876,KPL LICOR DE CAFE COFF LIQ 20 PERCENT 40,LIQUOR,CORDIALS BRANDY COGNAC,KAPALI LICOR DE CAFE,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004016937,SAMBALLA SAMBUCA 42 PERCENT 84 PROOF LQR,LIQUOR,CORDIALS BRANDY COGNAC,SAMBALLA,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004017231,EPIC VODKA 750 MILLILITER,LIQUOR,DISTILLED SPIRITS,EPIC,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004020262,KY DALE 40 PERCENT BLNDD KY 80 PROOF BTT,LIQUOR,DISTILLED SPIRITS,KENTUCKY DALE,SPAR INC,06-00-00,06-01-00
0088004020279,KY DALE 40 PERCENT KY BLNDD WHSKY 80 PRO,LIQUOR,DISTILLED SPIRITS,KENTUCKY DALE,SPAR INC,06-00-00,06-01-00
0088004020323,DR MCGLL INTNS BTTRS LQR 21 PERCENT 50 M,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004020828,MCFS BNCHM 40 PERCENT BRBN 80 PROOF BTTL,LIQUOR,DISTILLED SPIRITS,MCAFEE S BENCHMARK,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004020842,MCFS BNCHM 40 PERCENT STRGH BRBN SOUR MA,LIQUOR,DISTILLED SPIRITS,MCAFEE S BENCHMARK,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004020859,DR MCGILLICUDDYS INTNS CFF LQR 21 PERCEN,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004020934,CANE RUN ESTT ESTT ORGNL ORGNL 40 PERCEN,LIQUOR,DISTILLED SPIRITS,CANE RUN,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004021016,RICH RARE RSRV 40 PERCENT A BLEND CNDN W,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004021382,TAAKA DSTLL FROM GRAIN PCH 30 PERCENT VO,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004021399,TAAKA CRTFD COLOR ADDED DSTLL FROM GRAIN,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004021405,TAAKA DSTLL FROM GRAIN IMTTN WHPPD CREAM,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004021566,DR MCGLL 30 PERCENT SPRT WHSKY BTTL 50 M,LIQUOR,DISTILLED SPIRITS,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004021603,DR MCGLL INTNS INTNS WORLD FMS WORLD FMS,LIQUOR,DISTILLED SPIRITS,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004021832,TAAKA WITH NTRL FLVRS WTRMLN 30 PERCENT,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004022310,DR MCGLL 30 PERCENT SPRT WHSKY BTTL 50 M,LIQUOR,DISTILLED SPIRITS,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004022600,RICH RARE 35 PERCENT CAN 70 PROOF BTTL C,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004022624,RICH RARE 35 PERCENT CAN 70 PROOF BTTL C,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004025540,OLD CHRTR KNTCK FNST KNTCK FNST RARE RAR,LIQUOR,DISTILLED SPIRITS,OLD CHARTER,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004025571,OLD CHRTR 40 PERCENT KY STRGH BRBN 80 PR,LIQUOR,DISTILLED SPIRITS,OLD CHARTER,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004025595,OLD CHRTR 40 PERCENT KY STRGH BRBN 80 PR,LIQUOR,DISTILLED SPIRITS,OLD CHARTER,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004060572,MILES 80 PROOF BOTTLE TQL AND VODKA AND,LIQUOR,DISTILLED SPIRITS,MILES,SPAR INC,06-00-00,06-01-00
0088004144029,DR MCGLL MNTHL SCHNP CNTRY FRSH 24 PERCE,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004144043,DR MCGLL MNTHL SCHNP CNTRY FRSH 24 PERCE,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004144067,DR MCGLL MNTHL SCHNP CNTRY FRSH 24 PERCE,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004144074,DR MCGLL MNTHL SCHNP CNTRY FRSH 24 PERCE,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004144081,DR MCGLL MNTHL SCHNP ORIG FRML 24 PERCEN,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004144449,DR MCGLL MNTHL SCHNP CNTRY FRSH 24 PERCE,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004144647,DR MCGLL VAN LQR ORIG FRML 24 PERCENT 48,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004144678,FRBLL ORIG FRML 33 PERCENT 66 PROOF BTTL,LIQUOR,DISTILLED SPIRITS,FIREBALL,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004144692,FRBLL ORIG FRML 33 PERCENT 66 PROOF BTTL,LIQUOR,DISTILLED SPIRITS,FIREBALL,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004144708,FRBLL ORIG FRML 33 PERCENT 66 PROOF BTTL,LIQUOR,DISTILLED SPIRITS,FIREBALL,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004144722,FRBLL ORIG FRML 33 PERCENT 66 PROOF BTTL,LIQUOR,DISTILLED SPIRITS,FIREBALL,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004144739,FRBLL 33 PERCENT 66 PROOF BTTL CND WHSKY,LIQUOR,DISTILLED SPIRITS,FIREBALL,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004144913,DR MCGLL VAN SCHNA CNTRY FRSH 24 PERCENT,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
